"","Loans.funded_amnt","Loans.loan_amnt","Loans.dti","Loans.emp_length","Loans.installment","Loans.annual_inc","Loans.revol_bal","earlyear","proputil","Loans.open_acc","Loans.loan_status"
"22460",10800,10800,4.47,2,342.84,36480,1587,106,10.8,5,"Fully Paid"
"27212",6400,6400,9.06,10,200.2,54996,11167,97,52.4,8,"Fully Paid"
"20060",8000,8000,10.07,10,246.73,65416,13598,85,63,9,"Fully Paid"
"9315",7000,7000,5.71,10,229.14,34482,4994,102,94.2,4,"Fully Paid"
"33041",2500,2500,2.79,0,91.37,65000,2601,99,40.6,4,"Fully Paid"
"36181",1000,1000,9.77,0,31.2,91000,21003,97,45.5,10,"Fully Paid"
"34470",10000,10000,23.64,10,317.72,75000,39304,90,33.9,18,"Fully Paid"
"17428",7500,7500,15.56,3,227.46,60000,2926,99,9,13,"Fully Paid"
"1447",25000,25000,0.32,4,564.87,75000,1281,102,3.2,7,"Fully Paid"
"12796",12000,12000,7.81,10,373.22,51000,9913,89,13.1,21,"Fully Paid"
"30277",7200,7200,11.24,3,244.26,60000,21339,99,66.7,14,"Fully Paid"
"23089",6800,10000,9.36,6,132.01,70000,37677,87,52.9,6,"Fully Paid"
"14243",2500,2500,19.18,10,77.19,60000,2241,101,30.7,10,"Fully Paid"
"16869",30000,30000,21.35,8,983.73,110000,58780,95,59.5,11,"Fully Paid"
"28498",8000,8000,9.8,8,174.42,49000,1682,95,14.4,6,"Fully Paid"
"1503",5375,5375,11.56,10,137.23,19200,5368,106,81.3,5,"Fully Paid"
"37449",4400,6500,4.26,2,138.54,31000,5680,103,27.2,5,"Fully Paid"
"13387",2800,2800,15.44,4,92.99,140000,34277,80,70.4,22,"Fully Paid"
"18986",3000,3000,3.22,1,96.29,77200,2754,97,70.6,6,"Fully Paid"
"38650",5000,5000,2.29,8,155.38,120000,8379,97,16.9,8,"Fully Paid"
"12169",6000,6000,11.08,2,195.27,46151.04,12404,101,74,12,"Fully Paid"
"20566",12000,12000,13.76,5,385.07,50400,5262,100,72.1,6,"Fully Paid"
"2517",8500,8500,18.43,3,281.15,25000,12374,106,85.3,6,"Fully Paid"
"1052",10000,10000,17.37,2,311.11,69077,28667,94,63.8,11,"Fully Paid"
"16111",16000,16000,16.02,1,519.06,64800,12919,103,50.3,6,"Fully Paid"
"15976",10500,10500,16.78,1,365.43,72000,33819,92,59.8,15,"Fully Paid"
"16688",4300,4300,12.96,1,138.01,30000,870,106,12.4,5,"Fully Paid"
"25149",16000,16000,24.76,0,396.1,68000,17720,97,84.4,4,"Fully Paid"
"31122",5000,5000,16.26,10,175.06,60000,2276,88,73.4,4,"Fully Paid"
"24905",4000,4000,5.73,2,122.4,13200,1164,103,18.5,7,"Fully Paid"
"20500",12000,12000,15.23,10,365.99,26400,16310,101,45.3,6,"Fully Paid"
"27275",4000,4000,17.11,1,125.13,50000,12365,102,49.1,14,"Fully Paid"
"34465",5500,5500,8.04,4,189.62,78792,7841,104,94.5,6,"Fully Paid"
